"ID","Series","Supplier","Date","Credit To","Grand Total","ID (Items)","Accepted Qty (Items)","Accepted Qty in Stock UOM (Items)","Amount (Items)","Amount (Company Currency) (Items)","Item Name (Items)","Rate (Items)","Rate (Company Currency) (Items)","UOM (Items)","UOM Conversion Factor (Items)","Item (Items)","Item Group (Items)","Payment Amount (Payment Schedule)"
"ACC-PINV-2026-00005","ACC-PINV-.YYYY.-","شركة الصالح","2026-01-20","الدائنين - iHome",21000.0,"2dljvloim8",15.0,15.0,21000.0,21000.0,"T5-4C-120",1400.0,1400.0,"Nos",1.0,"1180","Switch",21000.0
"ACC-PINV-2026-00004","ACC-PINV-.YYYY.-","شركة الصالح","2026-01-15","الدائنين - iHome",1275.0,"5r29bql2tp",1.0,1.0,1275.0,1275.0,"T5-2C-120",1275.0,1275.0,"Nos",1.0,"1182","Switch",1275.0
"ACC-PINV-2026-00003","ACC-PINV-.YYYY.-","شركة الصالح","2026-01-05","الدائنين - iHome",10080.0,"2pr0h3qsh8",2.0,2.0,10080.0,10080.0,"Smart Door Lock D01",5040.0,5040.0,"Nos",1.0,"2396","Door Lock",10080.0
"ACC-PINV-2026-00002","ACC-PINV-.YYYY.-","Black Box","2026-01-10","الدائنين - iHome",25975.0,"8o3kgajpkk",2.0,2.0,8300.0,8300.0,"ALEXA Echo Spot",4150.0,4150.0,"Nos",1.0,"AES1","Alexa",25975.0
"","","","","","","8o3kj8k2hk",4.0,4.0,6000.0,6000.0,"Electric ValVe",1500.0,1500.0,"Nos",1.0,"3008","Sensor",""
"","","","","","","8o3kptmgkk",10.0,10.0,4000.0,4000.0,"Universal Remote ir",400.0,400.0,"No",1.0,"206","Remote",""
"","","","","","","8o3k331lv2",1.0,1.0,750.0,750.0,"tuya Wifi Gas Sensor Combustible",750.0,750.0,"No",1.0,"gasd","Sensor",""
"","","","","","","8o3kpca82q",3.0,3.0,1725.0,1725.0,"wifi smoke detector",575.0,575.0,"No",1.0,"wsd","Sensor",""
"","","","","","","8o3k6t12qm",2.0,2.0,2700.0,2700.0,"wifi Gas sensor leak detector digital",1350.0,1350.0,"Nos",1.0,"wGsd","Sensor",""
"","","","","","","8o3kt44cii",5.0,5.0,2500.0,2500.0,"wifi smart tuya Motion sensor",500.0,500.0,"Nos",1.0,"tuya Motion sensor","Sensor",""
"ACC-PINV-2026-00001","ACC-PINV-.YYYY.-","شركة الصالح","2026-01-01","الدائنين - iHome",4275.0,"c03ui1vtgl",4.0,4.0,900.0,900.0,"T5-1,2,3,4C 120 Star Style Cover",225.0,225.0,"Nos",1.0,"1194","Switch",4275.0
"","","","","","","c03u1b274v",6.0,6.0,3375.0,3375.0,"20cm Despa speaker black",562.5,562.5,"No",1.0,"DSP6011B","Sound System",""
"ACC-PINV-2025-00031","ACC-PINV-.YYYY.-","شركة الصالح","2025-12-29","الدائنين - iHome",4000.0,"6aplalc6qc",1.0,1.0,4000.0,4000.0,"WIFI DOOR BELL Camera Pixel: 1080p",4000.0,4000.0,"No",1.0,"13390","Door Lock",4000.0
"ACC-PINV-2025-00030","ACC-PINV-.YYYY.-","LINK","2025-11-27","الدائنين - iHome",8812.0,"6tc97lfb3r",6.0,6.0,4500.0,4500.0,"DAHUA 5M CAM B5E50P -0360B",750.0,750.0,"No",1.0,"2359","Cam",8812.0
"","","","","","","6tc9blcmt9",1.0,1.0,2950.0,2950.0,"XVR DAHUA 8CH 5108HS-13",2950.0,2950.0,"No",1.0,"2222","Cam",""
"","","","","","","6tc9lio6ke",1.0,1.0,170.0,170.0,"POWER SUPPLY 12V 10A LINK",170.0,170.0,"No",1.0,"2469v","Cam",""
"","","","","","","6tc9587nmt",100.0,100.0,635.0,635.0,"Cable Shiels174 *LINK* 100M",6.35,6.35,"Meter",1.0,"2477","Cam",""
